Z,N,A,S,Th,mTh,E,L
63,91,154,Eu,20,0.000000001,14.634,34657359.03
70,84,154,Yb,28,0.000000001,96.6,24755256.45
71,83,154,Lu,35,0.000001,130.4,19804.20516
63,91,154,Eu,46.3,60,8.6,0.000249513
63,91,154,Eu,54,0.000000001,0.91,12836058.9
63,91,154,Eu,54,0.000000001,32.7,12836058.9
63,91,154,Eu,54,0.000000001,100.8592,12836058.9
64,90,154,Gd,68,0.000000001,225.94,10193340.89
64,90,154,Gd,68,0.000000001,992.92,10193340.89
64,90,154,Gd,68,0.000000001,1419.81,10193340.89
67,88,155,Ho,0.88,0.001,31.7,787.6672506
62,93,155,Sm,1,0.000001,179.2,693147.1806
62,93,155,Sm,1,0.000001,287.5,693147.1806
62,93,155,Sm,1,0.000001,385.6,693147.1806
62,93,155,Sm,2.8,0.000001,16.547,247552.5645
66,89,155,Dy,6,0.000001,9.1,115524.5301
66,89,155,Dy,6,0.000001,79.72,115524.5301
66,89,155,Dy,6,0.000001,102.16,115524.5301
66,89,155,Dy,6,0.000001,147.63,115524.5301
64,91,155,Gd,31.97,0.001,13.47,21.68117549
68,87,155,Er,34.8,0.000000001,31.5,19918022.43
66,89,155,Dy,51,0.000000001,45.38,13591121.19
60,96,156,Nd,0.36,0.000001,970.6,1925408.835
60,96,156,Nd,0.36,0.000001,1209,1925408.835
64,92,156,Gd,1.3,0.000001,228.35,533190.1389
64,92,156,Gd,1.3,0.000001,383.93,533190.1389
67,89,156,Ho,9.5,1,52.37,0.072962861
63,93,156,Eu,12,0.000000001,39.7805,57762265.05
63,93,156,Eu,12,0.000000001,64.9725,57762265.05
63,93,156,Eu,12,0.000000001,87.4897,57762265.05
65,91,156,Tb,49,0.000000001,49.63,14145860.83
67,89,156,Ho,58,0.000000001,26.55,11950813.46
67,89,156,Ho,58,0.000000001,35.37,11950813.46
67,89,156,Ho,58,0.000000001,65.16,11950813.46
71,85,156,Lu,179,0.000000001,307.1,3872330.618
71,85,156,Lu,179,0.000000001,580.5,3872330.618
71,85,156,Lu,179,0.000000001,765,3872330.618
71,85,156,Lu,179,0.000000001,923.9,3872330.618
62,94,156,Sm,185,0.000000001,376.75,3746741.517
62,94,156,Sm,185,0.000000001,880.39,3746741.517
62,94,156,Sm,185,0.000000001,1147.84,3746741.517
69,87,156,Tm,400,0.000000001,203.6,1732867.951
64,93,157,Gd,0.46,0.000001,9.365,1506841.697
64,93,157,Gd,0.46,0.000001,63.929,1506841.697
66,91,157,Dy,1.3,0.000001,14.23,533190.1389
64,93,157,Gd,18.5,0.000001,199,37467.41517
64,93,157,Gd,18.5,0.000001,246.31,37467.41517
67,90,157,Ho,20,0.000000001,53.05,34657359.03
66,91,157,Dy,21.6,0.001,37.36,32.09014725
66,91,157,Dy,21.6,0.001,51.7,32.09014725
70,87,157,Yb,45,0.000000001,34.4,15403270.68
70,87,157,Yb,45,0.000000001,323.3,15403270.68
72,85,157,Hf,52,0.000000001,70.3,13329753.47
68,89,157,Er,76,0.001,155.4,9.120357639
65,93,158,Tb,0.4,0.001,65.76,1732.867951
65,93,158,Tb,0.4,0.001,171.07,1732.867951
67,91,158,Ho,29,0.000000001,156.9,23901626.92
62,96,158,Sm,74,0.000000001,781.3,9366853.791
62,96,158,Sm,74,0.000000001,1039.4,9366853.791
60,98,158,Nd,339,0.000000001,1197.1,2044681.949
68,91,159,Er,0.337,0.000001,38.32,2056816.56
68,91,159,Er,0.59,0.000001,170.75,1174825.73
68,91,159,Er,0.59,0.000001,247,1174825.73
68,91,159,Er,0.59,0.000001,284.84,1174825.73
61,98,159,Pm,4.97,0.000001,330.2,139466.2335
61,98,159,Pm,4.97,0.000001,644.4,139466.2335
61,98,159,Pm,4.97,0.000001,841,139466.2335
61,98,159,Pm,4.97,0.000001,999.6,139466.2335
67,92,159,Ho,8.3,1,40,0.083511709
67,92,159,Ho,8.3,1,205.92,0.083511709
64,95,159,Gd,26.2,0.000000001,17.1,26455999.26
64,95,159,Gd,26.2,0.000000001,67.8,26455999.26
69,90,159,Tm,37.5,0.000000001,113.18,18483924.81
69,90,159,Tm,37.5,0.000000001,166.16,18483924.81
62,97,159,Sm,83,0.000000001,869.6,8351170.85
66,93,159,Dy,122,0.000001,113.3,5681.534267
66,93,159,Dy,122,0.000001,116.9,5681.534267
66,93,159,Dy,122,0.000001,218,5681.534267
60,100,160,Nd,1.63,0.000001,892.8,425243.6691
62,98,160,Sm,1.8,0.000001,432.1,385081.767
62,98,160,Sm,1.8,0.000001,641.1,385081.767
75,85,160,Re,2.8,0.000001,96,247552.5645
69,91,160,Tm,17,0.000000001,34.18,40773363.56
69,91,160,Tm,17,0.000000001,132.23,40773363.56
69,91,160,Tm,17,0.000000001,174.4,40773363.56
67,93,160,Ho,48,0.000000001,107.28,14440566.26
67,93,160,Ho,56,0.000000001,118.44,12377628.22
65,95,160,Tb,60,0.000000001,63.6859,11552453.01
62,98,160,Sm,120,0.000000001,878,5776226.505
62,98,160,Sm,120,0.000000001,1128.2,5776226.505
69,91,160,Tm,200,0.000000001,98.2,3465735.903
66,95,161,Dy,0.76,0.000001,165,912035.7639
66,95,161,Dy,0.76,0.000001,217.8,912035.7639
66,95,161,Dy,0.76,0.000001,284.3,912035.7639
66,95,161,Dy,0.76,0.000001,301.4,912035.7639
66,95,161,Dy,0.76,0.000001,382.6,912035.7639
66,95,161,Dy,0.76,0.000001,385.3,912035.7639
61,100,161,Pm,0.79,0.000001,609.2,877401.4944
61,100,161,Pm,0.79,0.000001,727.5,877401.4944
62,99,161,Sm,2.6,0.000001,882.8,266595.0694
72,89,161,Hf,4.8,0.000001,202.2,144405.6626
67,94,161,Ho,6.76,1,211.15,0.102536565
68,93,161,Er,7.5,0.000001,99.76,92419.62407
68,93,161,Er,7.5,0.000001,128.9,92419.62407
68,93,161,Er,7.5,0.000001,146.65,92419.62407
68,93,161,Er,7.5,0.000001,207.12,92419.62407
68,93,161,Er,7.5,0.000001,252.5,92419.62407
66,95,161,Dy,29.1,0.000000001,25.65135,23819490.74
68,93,161,Er,84,0.000000001,45.54,8251752.15
69,92,161,Tm,110,0.000000001,78.2,6301338.005
62,100,162,Sm,1.78,0.000001,774.8,389408.5284
66,96,162,Dy,8.3,0.000001,146.4,83511.7085
66,96,162,Dy,8.3,0.000001,228.6,83511.7085
66,96,162,Dy,8.3,0.000001,248,83511.7085
66,96,162,Dy,8.3,0.000001,300.3,83511.7085
66,96,162,Dy,8.3,0.000001,341.8,83511.7085
66,96,162,Dy,8.3,0.000001,380.2,83511.7085
66,96,162,Dy,8.3,0.000001,435.4,83511.7085
66,96,162,Dy,8.3,0.000001,504.3,83511.7085
66,96,162,Dy,8.3,0.000001,550.3,83511.7085
66,96,162,Dy,8.3,0.000001,1266.5,83511.7085
66,96,162,Dy,8.3,0.000001,1639.2,83511.7085
68,94,162,Er,77,0.000000001,930.1,9001911.436
68,94,162,Er,77,0.000000001,1359.6,9001911.436
69,94,163,Tm,0.38,0.000001,63.62,1824071.528
68,95,163,Er,0.58,0.000001,125.8,1195081.346
68,95,163,Er,0.58,0.000001,198.5,1195081.346
68,95,163,Er,0.58,0.000001,246.2,1195081.346
68,95,163,Er,0.58,0.000001,255.8,1195081.346
68,95,163,Er,0.58,0.000001,325.1,1195081.346
67,96,163,Ho,0.8,0.000001,183.3,866433.9757
67,96,163,Ho,0.8,0.000001,340.2,866433.9757
67,96,163,Ho,1.09,1,297.88,0.635914845
70,93,163,Yb,10,0.000000001,24.7,69314718.06
70,93,163,Yb,10,0.000000001,4.2,69314718.06
70,93,163,Yb,10,0.000000001,41,69314718.06
70,93,163,Yb,10,0.000000001,45.3,69314718.06
70,93,163,Yb,10,0.000000001,58,69314718.06
67,96,163,Ho,41,0.000000001,581.1,16906028.79
67,96,163,Ho,41,0.000000001,973.8,16906028.79
69,94,163,Tm,43,0.000000001,115.7,16119701.87
69,94,163,Tm,43,0.000000001,141.4,16119701.87
69,94,163,Tm,43,0.000000001,203.4,16119701.87
74,89,163,W,154,0.000000001,38.4,4500955.718
74,89,163,W,154,0.000000001,378.3,4500955.718
63,100,163,Eu,930,0.000000001,256.1,745319.549
63,100,163,Eu,930,0.000000001,674.9,745319.549
64,100,164,Gd,0.58,0.000001,60.2,1195081.346
64,100,164,Gd,0.58,0.000001,854.7,1195081.346
62,102,164,Sm,0.6,0.000001,349.4,1155245.301
68,96,164,Er,23,0.000000001,139.44,30136833.94
68,96,164,Er,23,0.000000001,240.49,30136833.94
68,96,164,Er,23,0.000000001,626.4,30136833.94
68,96,164,Er,23,0.000000001,960.5,30136833.94
68,96,164,Er,23,0.000000001,1370.73,30136833.94
69,95,164,Tm,36,0.000000001,124.04,19254088.35
67,97,164,Ho,36.6,60,45.79,0.000315641
68,96,164,Er,68,0.000000001,156.4,10193340.89
68,96,164,Er,68,0.000000001,427.3,10193340.89
68,96,164,Er,68,0.000000001,555,10193340.89
68,96,164,Er,68,0.000000001,1294.8,10193340.89
68,96,164,Er,68,0.000000001,1859.5,10193340.89
68,97,165,Er,0.25,0.000001,314.8,2772588.722
68,97,165,Er,0.25,0.000001,375,2772588.722
68,97,165,Er,0.25,0.000001,383.7,2772588.722
68,97,165,Er,0.25,0.000001,473.7,2772588.722
68,97,165,Er,0.37,0.000001,317,1873370.758
68,97,165,Er,0.37,0.000001,1050.6,1873370.758
68,97,165,Er,0.37,0.000001,1144.6,1873370.758
65,100,165,Tb,0.81,0.000001,76,855737.26
65,100,165,Tb,0.81,0.000001,152,855737.26
67,98,165,Ho,1.512,0.000001,266.8,458430.675
67,98,165,Ho,1.512,0.000001,361.68,458430.675
69,96,165,Tm,9,0.000001,30.8,77016.3534
69,96,165,Tm,9,0.000001,80.11,77016.3534
69,96,165,Tm,80,0.000001,68.86,8664.339757
70,95,165,Yb,300,0.000000001,39.23,2310490.602
65,101,166,Tb,3.5,0.000001,119,198042.0516
69,97,166,Tm,36,0.000000001,59.488,19254088.35
69,97,166,Tm,36,0.000000001,121.71,19254088.35
71,95,166,Lu,92,0.000000001,83.5,7534208.484
67,99,166,Ho,185,0.000001,10.43,3746.741517
67,99,166,Ho,185,0.000001,19.84,3746.741517
67,99,166,Ho,185,0.000001,136.662,3746.741517
69,97,166,Tm,340,0.001,34.418,2.038668178
64,102,166,Gd,950,0.000000001,146.3,729628.6111
64,102,166,Gd,950,0.000000001,183.1,729628.6111
69,98,167,Tm,0.9,0.000001,6.93,770163.534
69,98,167,Tm,0.9,0.000001,105.19,770163.534
69,98,167,Tm,0.9,0.000001,113.34,770163.534
69,98,167,Tm,0.9,0.000001,150.4,770163.534
69,98,167,Tm,0.9,0.000001,176.25,770163.534
69,98,167,Tm,1.16,0.000001,37.05,597540.6729
69,98,167,Tm,1.16,0.000001,62.91,597540.6729
69,98,167,Tm,1.16,0.000001,169.04,597540.6729
65,102,167,Tb,2.1,0.000001,73,330070.086
65,102,167,Tb,2.1,0.000001,147,330070.086
68,99,167,Er,2.269,1,207.801,0.305485756
67,100,167,Ho,6,0.000001,259.33,115524.5301
70,97,167,Yb,23,0.000000001,188.66,30136833.94
70,97,167,Yb,180,0.000000001,151.96,3850817.67
70,97,167,Yb,180,0.000000001,160.49,3850817.67
70,97,167,Yb,180,0.000000001,254,3850817.67
70,97,167,Yb,180,0.000000001,270,3850817.67
70,97,167,Yb,180,0.000000001,385.55,3850817.67
70,97,167,Yb,180,0.000000001,392.61,3850817.67
70,97,167,Yb,180,0.000000001,445.56,3850817.67
70,97,167,Yb,180,0.000000001,513.1,3850817.67
76,91,167,Os,672,0.000000001,348,1031469.019
66,102,168,Dy,0.57,0.000001,151.7,1216047.685
65,103,168,Tb,0.69,0.000001,114,1004561.131
67,101,168,Ho,4,0.000001,143.5,173286.7951
70,98,168,Yb,62,0.000000001,111.4,11179793.23
70,98,168,Yb,62,0.000000001,223.59,11179793.23
70,98,168,Yb,82,0.000000001,156.6,8453014.397
70,98,168,Yb,82,0.000000001,179.6,8453014.397
70,98,168,Yb,82,0.000000001,228.6,8453014.397
70,98,168,Yb,82,0.000000001,324.7,8453014.397
70,98,168,Yb,82,0.000000001,348.3,8453014.397
70,98,168,Yb,82,0.000000001,401.1,8453014.397
70,98,168,Yb,82,0.000000001,1413.5,8453014.397
70,98,168,Yb,82,0.000000001,1712,8453014.397
67,101,168,Ho,108,0.000000001,192.5,6418029.45
68,100,168,Er,109,0.000000001,99.289,6359148.446
68,100,168,Er,109,0.000000001,198.241,6359148.446
68,100,168,Er,109,0.000000001,272.876,6359148.446
68,100,168,Er,109,0.000000001,829.958,6359148.446
68,100,168,Er,109,0.000000001,1014.11,6359148.446
66,103,169,Dy,1.26,0.000001,166.1,550116.81
73,96,169,Ta,17,0.000000001,152.6,40773363.56
73,96,169,Ta,17,0.000000001,168.7,40773363.56
73,96,169,Ta,28,0.000000001,123,24755256.45
70,99,169,Yb,46,1,24.2,0.015068417
69,100,169,Tm,52.2,0.000000001,63.12044,13278681.62
69,100,169,Tm,52.2,0.000000001,240.331,13278681.62
69,100,169,Tm,52.2,0.000000001,261.07712,13278681.62
69,100,169,Tm,52.2,0.000000001,370.854,13278681.62
69,100,169,Tm,52.2,0.000000001,379.284,13278681.62
72,97,169,Hf,82,0.000000001,28.8,8453014.397
67,102,169,Ho,118,0.000001,483.6,5874.128649
67,102,169,Ho,118,0.000001,685.4,5874.128649
67,102,169,Ho,118,0.000001,867.3,5874.128649
71,98,169,Lu,160,1,29,0.00433217
68,101,169,Er,200,0.000000001,67.3,3465735.903
68,101,169,Er,200,0.000000001,151.5,3465735.903
68,101,169,Er,285,0.000000001,17.46,2432095.37
68,101,169,Er,285,0.000000001,27.6,2432095.37
69,100,169,Tm,659.9,0.000000001,10,1050382.15
69,100,169,Tm,659.9,0.000000001,177.21307,1050382.15
69,100,169,Tm,659.9,0.000000001,197.95675,1050382.15
69,100,169,Tm,659.9,0.000000001,307.73586,1050382.15
71,99,170,Lu,0.67,1,48.42,1.034548031
69,101,170,Tm,4.12,0.000001,68.6491,168239.6069
69,101,170,Tm,4.12,0.000001,144.4797,168239.6069
72,98,170,Hf,23,0.000000001,216.6,30136833.94
72,98,170,Hf,23,0.000000001,1141,30136833.94
68,102,170,Er,42.8,0.000000001,51.3,16195027.58
68,102,170,Er,42.8,0.000000001,141.5,16195027.58
68,102,170,Er,42.8,0.000000001,165.33,16195027.58
68,102,170,Er,42.8,0.000000001,258.136,16195027.58
68,102,170,Er,42.8,0.000000001,1008.3,16195027.58
70,100,170,Yb,370,0.000000001,981.1,1873370.758
66,104,170,Dy,990,0.000000001,255,700148.6672
66,104,170,Dy,990,0.000000001,386.33,700148.6672
66,104,170,Dy,990,0.000000001,496.64,700148.6672
66,104,170,Dy,990,0.000000001,527.28,700148.6672
66,104,170,Dy,990,0.000000001,1148.9,700148.6672
66,104,170,Dy,990,0.000000001,1406,700148.6672
69,102,171,Tm,1.7,0.000001,219.2,407733.6356
69,102,171,Tm,1.7,0.000001,428,407733.6356
69,102,171,Tm,1.7,0.000001,558.1,407733.6356
69,102,171,Tm,2.6,0.000001,295.901,266595.0694
69,102,171,Tm,2.6,0.000001,308.2996,266595.0694
69,102,171,Tm,2.6,0.000001,419.9,266595.0694
69,102,171,Tm,2.6,0.000001,424.9,266595.0694
70,101,171,Yb,5.25,0.001,19.394,132.0280344
72,99,171,Hf,18,0.000000001,190.3,38508176.7
72,99,171,Hf,29.5,1,21.93,0.023496515
71,100,171,Lu,29.7,0.000000001,137.01,23338288.91
73,98,171,Ta,46,0.000000001,53.1,15068416.97
73,98,171,Ta,46,0.000000001,184.2,15068416.97
73,98,171,Ta,46,0.000000001,236.3,15068416.97
72,99,171,Hf,64,0.000000001,49.6,10830424.7
71,100,171,Lu,79,1,71.1,0.008774015
68,103,171,Er,210,0.000000001,198.6,3300700.86
70,101,171,Yb,265,0.000000001,27.133,2615649.738
70,101,171,Yb,265,0.000000001,46.543,2615649.738
70,101,171,Yb,265,0.000000001,55.689,2615649.738
70,101,171,Yb,265,0.000000001,122.37,2615649.738
78,93,171,Pt,901,0.000000001,323.1,769308.7465
71,101,172,Lu,0.332,0.000001,23.9331,2087792.713
68,104,172,Er,0.57,0.000001,133.6,1216047.685
68,104,172,Er,0.57,0.000001,249.6,1216047.685
68,104,172,Er,0.57,0.000001,369.7,1216047.685
68,104,172,Er,0.57,0.000001,970.5,1216047.685
70,102,172,Yb,3.6,0.000001,174.7,192540.8835
70,102,172,Yb,3.6,0.000001,197.6,192540.8835
70,102,172,Yb,3.6,0.000001,1010.45,192540.8835
71,101,172,Lu,3.7,60,41.86,0.003122285
73,99,172,Ta,37,0.000000001,180.2,18733707.58
68,104,172,Er,39.5,0.000000001,137.8,17548029.89
68,104,172,Er,39.5,0.000000001,229.4,17548029.89
68,104,172,Er,39.5,0.000000001,1008.1,17548029.89
68,104,172,Er,39.5,0.000000001,1186.1,17548029.89
73,99,172,Ta,50,0.000000001,49.3,13862943.61
69,103,172,Tm,132,0.000001,34.6,5251.115004
69,103,172,Tm,132,0.000001,101.8,5251.115004
69,103,172,Tm,132,0.000001,226.3,5251.115004
71,101,172,Lu,150,0.000000001,102.5,4620981.204
71,101,172,Lu,150,0.000000001,213.5,4620981.204
72,100,172,Hf,163,0.000000001,127.67,4252436.691
72,100,172,Hf,163,0.000000001,149.4,4252436.691
72,100,172,Hf,163,0.000000001,278.2,4252436.691
72,100,172,Hf,163,0.000000001,321,4252436.691
72,100,172,Hf,163,0.000000001,408.4,4252436.691
72,100,172,Hf,163,0.000000001,968.2,4252436.691
71,101,172,Lu,440,0.000001,67.35,1575.334501
70,103,173,Yb,2.9,0.000001,398.9,239016.2692
69,104,173,Tm,10.4,0.000001,192.8,66648.76736
69,104,173,Tm,10.4,0.000001,199.2,66648.76736
69,104,173,Tm,10.4,0.000001,315.2,66648.76736
73,100,173,Ta,13.5,0.000000001,174.21,51344235.6
73,100,173,Ta,13.5,0.000000001,196.61,51344235.6
74,99,173,W,14,0.000000001,85.37,49510512.9
69,104,173,Tm,15.2,0.000000001,155.4,45601788.19
72,101,173,Hf,19.5,0.000000001,164.8,35546009.26
76,97,173,Os,28,0.000000001,49.6,24755256.45
71,102,173,Lu,74.2,0.000001,123.672,9341.606207
69,104,173,Tm,121,0.000000001,412,5728489.096
69,104,173,Tm,121,0.000000001,655,5728489.096
69,104,173,Tm,121,0.000000001,703.5,5728489.096
73,100,173,Ta,137,0.000000001,351.3,5059468.471
73,100,173,Ta,137,0.000000001,604.1,5059468.471
73,100,173,Ta,137,0.000000001,835.3,5059468.471
72,101,173,Hf,160,0.000000001,90.3,4332169.878
72,101,173,Hf,180,0.000000001,25.7,3850817.67
72,101,173,Hf,180,0.000000001,37.4,3850817.67
72,101,173,Hf,180,0.000000001,107.2,3850817.67
73,100,173,Ta,205,0.000000001,35.4,3381205.759
73,100,173,Ta,205,0.000000001,63,3381205.759
73,100,173,Ta,205,0.000000001,166,3381205.759
69,104,173,Tm,250,0.000000001,43.4,2772588.722
69,104,173,Tm,250,0.000000001,124,2772588.722
69,104,173,Tm,250,0.000000001,154.3,2772588.722
69,104,173,Tm,250,0.000000001,214.3,2772588.722
75,99,174,Re,1,0.000001,177.7,693147.1806
72,102,174,Hf,2.39,0.000001,60.18,290019.7408
72,102,174,Hf,2.39,0.000001,248.3,290019.7408
72,102,174,Hf,2.39,0.000001,788,290019.7408
72,102,174,Hf,3.7,0.000001,10.3,187337.0758
72,102,174,Hf,3.7,0.000001,11.87,187337.0758
72,102,174,Hf,3.7,0.000001,15.7,187337.0758
72,102,174,Hf,3.7,0.000001,31.9,187337.0758
72,102,174,Hf,3.7,0.000001,42.69,187337.0758
72,102,174,Hf,3.7,0.000001,54,187337.0758
72,102,174,Hf,3.7,0.000001,82,187337.0758
72,102,174,Hf,3.7,0.000001,132.4,187337.0758
72,102,174,Hf,3.7,0.000001,155.09,187337.0758
72,102,174,Hf,3.7,0.000001,194.8,187337.0758
72,102,174,Hf,3.7,0.000001,221.97,187337.0758
72,102,174,Hf,3.7,0.000001,318.8,187337.0758
72,102,174,Hf,3.7,0.000001,328.36,187337.0758
72,102,174,Hf,3.7,0.000001,339.7,187337.0758
72,102,174,Hf,3.7,0.000001,379.38,187337.0758
72,102,174,Hf,3.7,0.000001,457.7,187337.0758
72,102,174,Hf,3.7,0.000001,539.3,187337.0758
72,102,174,Hf,3.7,0.000001,627.22,187337.0758
72,102,174,Hf,3.7,0.000001,714.2,187337.0758
72,102,174,Hf,3.7,0.000001,822.7,187337.0758
72,102,174,Hf,3.7,0.000001,1291.32,187337.0758
68,106,174,Er,3.9,1,162.9,0.177730046
68,106,174,Er,3.9,1,551,0.177730046
69,105,174,Tm,10.4,0.000000001,90.5,66648767.36
69,105,174,Tm,15.2,0.000000001,91.2,45601788.19
69,105,174,Tm,15.2,0.000000001,191.5,45601788.19
75,99,174,Re,23,0.000000001,137.5,30136833.94
71,103,174,Lu,38,0.000000001,206.8,18240715.28
75,99,174,Re,53,0.000000001,1127,13078248.69
75,99,174,Re,53,0.000000001,875.1,13078248.69
75,99,174,Re,53,0.000000001,925.8,13078248.69
75,99,174,Re,53,0.000000001,1143.6,13078248.69
70,104,174,Yb,55,0.000000001,409.6,12602676.01
70,104,174,Yb,55,0.000000001,695.6,12602676.01
70,104,174,Yb,55,0.000000001,785.5,12602676.01
70,104,174,Yb,55,0.000000001,964.1,12602676.01
75,99,174,Re,91,0.000000001,115.5,7617001.984
71,103,174,Lu,97,0.000000001,328.1,7145847.222
69,105,174,Tm,106.1,0.000001,37,6532.961174
69,105,174,Tm,106.1,0.000001,39,6532.961174
69,105,174,Tm,106.1,0.000001,145,6532.961174
69,105,174,Tm,106.1,0.000001,168.1,6532.961174
69,105,174,Tm,106.1,0.000001,298.3,6532.961174
69,105,174,Tm,106.1,0.000001,397.7,6532.961174
69,105,174,Tm,106.1,0.000001,401.3,6532.961174
69,105,174,Tm,106.1,0.000001,440,6532.961174
69,105,174,Tm,106.1,0.000001,637.1,6532.961174
74,100,174,W,126,0.000000001,306.8,5501168.1
74,100,174,W,126,0.000000001,557.1,5501168.1
74,100,174,W,126,0.000000001,685.6,5501168.1
74,100,174,W,126,0.000000001,1327.7,5501168.1
74,100,174,W,126,0.000000001,1879.3,5501168.1
72,102,174,Hf,138,0.000000001,100.1,5022805.656
72,102,174,Hf,138,0.000000001,154.71,5022805.656
72,102,174,Hf,138,0.000000001,241.97,5022805.656
72,102,174,Hf,138,0.000000001,486.61,5022805.656
72,102,174,Hf,138,0.000000001,539.67,5022805.656
72,102,174,Hf,138,0.000000001,941.02,5022805.656
72,102,174,Hf,138,0.000000001,1251.81,5022805.656
71,103,174,Lu,145,0.000000001,105.654,4780325.383
71,103,174,Lu,145,0.000000001,124.36,4780325.383
71,103,174,Lu,145,0.000000001,164.885,4780325.383
71,103,174,Lu,145,0.000000001,253.435,4780325.383
74,100,174,W,158,0.000000001,247,4387007.472
71,103,174,Lu,194,0.000000001,267.4,3572923.611
71,103,174,Lu,194,0.000000001,373.3,3572923.611
71,103,174,Lu,194,0.000000001,427.1,3572923.611
71,103,174,Lu,194,0.000000001,484.8,3572923.611
71,103,174,Lu,194,0.000000001,608.1,3572923.611
71,103,174,Lu,194,0.000000001,821.6,3572923.611
71,103,174,Lu,242,0.000000001,299.2,2864244.548
71,103,174,Lu,242,0.000000001,432.7,2864244.548
70,104,174,Yb,256,0.000000001,193,2707606.174
70,104,174,Yb,256,0.000000001,247.1,2707606.174
70,104,174,Yb,256,0.000000001,875.5,2707606.174
70,104,174,Yb,256,0.000000001,1239.2,2707606.174
71,103,174,Lu,395,0.000000001,129.065,1754802.989
71,103,174,Lu,395,0.000000001,196.112,1754802.989
70,104,174,Yb,830,0.000001,628.37,835.117085
70,104,174,Yb,830,0.000001,992.128,835.117085
70,104,174,Yb,830,0.000001,1265.18,835.117085
73,102,175,Ta,0.17,0.000001,121.16,4077336.356
73,102,175,Ta,0.17,0.000001,270.25,4077336.356
80,95,175,Hg,0.34,0.000001,414,2038668.178
72,103,175,Hf,1.1,0.000001,357.4,630133.8005
72,103,175,Hf,1.1,0.000001,536.42,630133.8005
72,103,175,Hf,1.1,0.000001,614.8,630133.8005
72,103,175,Hf,1.1,0.000001,722.23,630133.8005
72,103,175,Hf,1.1,0.000001,867.16,630133.8005
72,103,175,Hf,1.21,0.000001,74.5,572848.9096
72,103,175,Hf,1.21,0.000001,82.7,572848.9096
72,103,175,Hf,1.21,0.000001,381.3,572848.9096
71,104,175,Lu,1.49,0.000001,353.3,465199.45
72,103,175,Hf,2.8,0.000001,131,247552.5645
72,103,175,Hf,2.8,0.000001,291,247552.5645
72,103,175,Hf,2.8,0.000001,479,247552.5645
77,98,175,Ir,6.58,0.000001,45.2,105341.5168
76,99,175,Os,10,0.000000001,105.7,69314718.06
71,104,175,Lu,10.6,0.000000001,111.9,65391243.45
71,104,175,Lu,10.6,0.000000001,255.72,65391243.45
69,106,175,Tm,21,0.000001,108.3,33007.0086
69,106,175,Tm,21,0.000001,321.7,33007.0086
69,106,175,Tm,21,0.000001,513,33007.0086
75,100,175,Re,27.7,0.000000001,179.5,25023363.92
75,100,175,Re,27.7,0.000000001,428.7,25023363.92
75,100,175,Re,27.7,0.000000001,684.4,25023363.92
75,100,175,Re,27.7,0.000000001,693.7,25023363.92
69,106,175,Tm,44.4,0.000000001,5.2,15611422.99
69,106,175,Tm,44.4,0.000000001,163.8,15611422.99
69,106,175,Tm,44.4,0.000000001,300.6,15611422.99
72,103,175,Hf,53.7,0.000001,125.9,12907.76873
70,105,175,Yb,68.2,0.001,514.862,10.1634484
74,101,175,W,216,0.000000001,38.69,3209014.725
74,101,175,W,216,0.000000001,130.92,3209014.725
74,101,175,W,216,0.000000001,145.74,3209014.725
73,102,175,Ta,222,0.000000001,131.6,3122284.597
69,106,175,Tm,319,0.000000001,87.4,2172875.174
69,106,175,Tm,319,0.000000001,311,2172875.174
69,106,175,Tm,319,0.000000001,313,2172875.174
69,106,175,Tm,319,0.000000001,440,2172875.174
71,104,175,Lu,984,0.000001,368,704.4178664
71,104,175,Lu,984,0.000001,592,704.4178664
71,104,175,Lu,984,0.000001,797,704.4178664
73,102,175,Ta,1950,0.000000001,216.8,355460.0926
73,102,175,Ta,1950,0.000000001,473.8,355460.0926
73,102,175,Ta,1950,0.000000001,709.6,355460.0926
73,103,176,Ta,0.97,0.001,6.9,714.5847222
73,103,176,Ta,0.97,0.001,11.2,714.5847222
73,103,176,Ta,0.97,0.001,345.6,714.5847222
73,103,176,Ta,1.1,0.001,33.5,630.1338005
73,103,176,Ta,3.8,0.000001,393.6,182407.1528
73,103,176,Ta,3.8,0.000001,618.4,182407.1528
72,104,176,Hf,9.6,0.000001,736.2,72202.83131
72,104,176,Hf,9.6,0.000001,1043,72202.83131
72,104,176,Hf,9.9,0.000001,53.49,70014.86672
72,104,176,Hf,9.9,0.000001,226.25,70014.86672
74,102,176,W,10,0.000000001,315.8,69314718.06
70,106,176,Yb,11.4,1,95.92,0.060802384
73,103,176,Ta,13.3,0.000000001,90.8,52116329.37
73,103,176,Ta,25,0.000000001,61.4,27725887.22
73,103,176,Ta,27,0.000000001,90.4,25672117.8
75,101,176,Re,30,0.000000001,99.5,23104906.02
73,103,176,Ta,30.5,0.000000001,100.2,22726137.07
72,104,176,Hf,34,0.000000001,529.1,20386681.78
72,104,176,Hf,34,0.000000001,836.5,20386681.78
71,105,176,Lu,35,0.000000001,71.516,19804205.16
73,103,176,Ta,38,0.000000001,99.9,18240715.28
71,105,176,Lu,40,0.000001,73,17328.67951
71,105,176,Lu,40,0.000001,190,17328.67951
74,102,176,W,41,0.000000001,445,16906028.79
74,102,176,W,41,0.000000001,490.9,16906028.79
